first,second
152,"Production of five neutrons plus a residual Additional open channels for inci- dent energies up to 60 Mev. Indicates the production of the defined particles and a residual 153 (z,6n) Production of six neutron, plus a residual 154 (z,2nt) Production of two neutrons, a triton, plus a residual 155 (z,tα) Production of a triton, an alpha particle, plus a residual 156 (z,4np) Production of four neutrons, a proton, plus a residual 157 (z,3nd) Production of three neutrons, a deuteron, plus a residual 158 (z,n’dα) Production of a neutron, deuteron, an al- pha particle, plus a residual 159 (z,2npα) Production of two neutrons, a proton, an alpha particle, plus a residual 160 (z,7n) Production of seven neutrons plus a resid- ual 325 B.1. REACTION TYPE NUMBERS MT MT Description Comments 161 (z,8n) Production of eight neutrons plus a resid- ual 162 (z,5np) Production of five neutrons, a proton, plus a residual 163 (z,6np) Production of six neutrons, a proton, plus a residual 164 (z,7np) Production of seven neutrons, a proton, plus a residual 165 (z,4nα) Production of four neutrons, an alpha par- ticle, plus a residual 166 (z,5nα) Production of five neutrons, an alpha par- ticle, plus a residual 167 (z,6nα) Production of six neutrons, an alpha par- ticle, plus a residual 168 (z,7nα) Production of seven enutrons, an alpha particle, plus a residual 169 (z,4nd) Production of four neutrons, a deuteron, plus a residual 170 (z,5nd) Production of five neutrons, a deuteron, plus a residual 171 (z,6nd) Production of six neutrons, a deuteron, plus a residual 172 (z,3nt) Production of three neutrons, a triton, plus a residual 173 (z,4nt) Production of four neutrons, a triton, plus a residual 174 (z,5nt) Production of five neutrons, a triton, plus a residual 175 (z,6nt) Production of six neutrons, a triton, plus a residual 176 (z,2n3He) Production of two neutrons, a helion, plus a residual 177 (z,3n3He) Production of three neutrons, a helion, plus a residual 178 (z,4n3He) Production of four neutrons, a helion, plus a residual 179 (z,3n2p) Production of three neutrons, a proton, plus a residual 180 (z,3n2α) Production of three neutrons, two alpha particles, plus a residual 181 (z,3npα) Production of three neutrons, a proton, an alpha particle, plus a residual 182 (z,dt) Production of a deuteron, a triton, plus a residual 326 B.1. REACTION TYPE NUMBERS MT MT Description Comments 183 (z,n’pd) Production of a neutron, a proton, a deuteron, plus a residual 184 (z,n’pt) Production of a neutron, a proton, a triton, plus a residual 185 (z,n’dt) Production of a neutron, a deuteron, a tri- ton, plus a residual 186 (z,n’p3He) Production of a neutron,a proton, a helion, plus a residual 187 (z,n’d3He) Production of a neutron, a deuteron, a he- lion, plus a residual 188 (z,n’t3He) Production of a neutron, a triton, a helion, plus a residual 189 (z,n’tα) Production of a neutron, a triton, an alpha particle, plus a residual 190 (z,2n2p) Production of two neutrons, two protons, plus a residual 191 (z,p3He) Production of a proton, a helion, plus a residual 192 (z,d3He) Production of a deuteron, a helion, plus a residual 193 (z,3Heα) Production of a helion, an alpha particle, plus a residual 194 (z,4n2p) Production of four neutrons, two protons, plus a residual 195 (z,4n2α) Production of four neutrons, two alpha particles, plus a residual 196 (z,4npα) Production of four neutrons, a proton, an alpha particle, plus a residual 197 (z,3p) Production of three protons, plus a resid- ual 198 (z,n’3p) Production of a neutron, three protons, plus a residual 199 (z,3n2pα) Production of three neutrons, two protons, an alpha particle, plus a residual 200 (z,5n2p) Production of five neutrons, two protons, plus a residual 201 (z,Xn) Total neutron production. Redundant; use in derived files only."
21,Third-chance neutron-induced fission2.
38,Fourth-chance fission cross section.
209,Total π0 production. For use in high- energy evaluations.
649,Production of a proton in the continuum not included in the above discrete repre- sentation.
105,"Production of a triton, plus a residual."
24,"Production of two neutrons and an alpha particle, plus a residual1."
17,Production of three neutrons and a resid- ual.
37,"Production of 4 neutrons, plus a residual."
1,Neutron total cross sections. (See sum rules for cross sections in Section 0.4.3.11 Table 14).
252,"ξ, average logarithmic energy decrement for elastic scattering of neutrons."
22,"Production of a neutron and an alpha par- ticle, plus a residual."
454,Independent fission product yield data.
206,Total 3He production. Redundant; use in derived files only.
601,"Production of a proton, with residual in the 1st excited state."
604,"Production of a proton, with residual in the 4th excited state."
214,Total κ0 long production. For use in high- energy evaluations.
3,Nonelastic neutron cross section. (See sum rules for cross sections in Section 0.4.3.11 Table 14).
459,Cumulative fission product yield data.
800,Production of an alpha particle leaving the residual nucleus in the ground state.
51,"Production of a neutron, with residual in the 1st excited state."
33,"Production of a neutron and a triton, plus a residual."
602,"Production of a proton, with residual in the 2nd excited state."
701,"Production of a triton, with residual in the 1st excited state."
113,"Production of a triton and 2 alpha parti- cles, plus a residual."
